date,WIG20
2017-05-30,2281.18
2017-05-31,2278.26
2017-06-01,2303.21
2017-06-04,2276.01
2017-06-05,2303.68
2017-06-06,2308.64
2017-06-07,2340.23
2017-06-08,2330.72
2017-06-11,2295.01
2017-06-12,2302.41
2017-06-13,2295.99
2017-06-15,2304.5
2017-06-18,2334.27
2017-06-19,2302.83
2017-06-20,2319.13
2017-06-21,2308.16
2017-06-22,2304.48
2017-06-25,2337.69
2017-06-26,2345.05
2017-06-27,2327.68
2017-06-28,2329.26
2017-06-29,2299.8
2017-07-02,2323.74
2017-07-03,2294.27
2017-07-04,2307.49
2017-07-05,2300.74
2017-07-06,2295.82
2017-07-09,2300.66
2017-07-10,2297.73
2017-07-11,2341.54
2017-07-12,2350.83
2017-07-13,2350.43
2017-07-16,2372.17
2017-07-17,2360.75
2017-07-18,2374.31
2017-07-19,2358.5
2017-07-20,2343.1
2017-07-23,2334.69
2017-07-24,2341.36
2017-07-25,2360.26
2017-07-26,2350.91
2017-07-27,2360.42
2017-07-30,2374.17
2017-07-31,2386.4
2017-08-01,2366.06
2017-08-02,2365.48
2017-08-03,2380.16
2017-08-06,2388.21
2017-08-07,2425.02
2017-08-08,2408.11
2017-08-09,2382.67
2017-08-10,2371.72
2017-08-13,2376.66
2017-08-15,2381.18
2017-08-16,2353.18
2017-08-17,2359.87
2017-08-20,2377.28
2017-08-21,2387.24
2017-08-22,2391.06
2017-08-23,2456.27
2017-08-24,2471.74
2017-08-27,2531.31
2017-08-28,2497.58
2017-08-29,2524.57
2017-08-30,2516.26
2017-08-31,2527.62
2017-09-03,2519.42
2017-09-04,2517.45
2017-09-05,2512.4
2017-09-06,2491.79
2017-09-07,2483.58
2017-09-10,2513.44
2017-09-11,2505.88
2017-09-12,2500.16
2017-09-13,2507.43
2017-09-14,2498.32
2017-09-17,2501.75
2017-09-18,2502.81
2017-09-19,2499.63
2017-09-20,2468.72
2017-09-21,2480.73
2017-09-24,2453.15
2017-09-25,2443.34
2017-09-26,2433.82
2017-09-27,2427.04
2017-09-28,2453.46
2017-10-01,2469.58
2017-10-02,2469.51
2017-10-03,2444.19
2017-10-04,2463.45
2017-10-05,2479.46
2017-10-08,2499.35
2017-10-09,2516.49
2017-10-10,2551.78
2017-10-11,2537.69
2017-10-12,2528.16
2017-10-15,2534.52
2017-10-16,2514.36
2017-10-17,2502.34
2017-10-18,2467.49
2017-10-19,2465.51
2017-10-22,2473.42
2017-10-23,2448.45
2017-10-24,2449.89
2017-10-25,2456.17
2017-10-26,2488.5
2017-10-29,2517.03
2017-10-30,2524.9
2017-11-01,2501.4
2017-11-02,2494.52
2017-11-05,2515.34
2017-11-06,2536.37
2017-11-07,2513.34
2017-11-08,2478.21
2017-11-09,2457.62
2017-11-12,2454.6
2017-11-13,2464.35
2017-11-14,2418.96
2017-11-15,2411.11
2017-11-16,2443.83
2017-11-19,2468.09
2017-11-20,2489.08
2017-11-21,2489.5
2017-11-22,2503.93
2017-11-23,2479.25
2017-11-26,2497.15
2017-11-27,2485.71
2017-11-28,2436.24
2017-11-29,2408.69
2017-11-30,2389.92
2017-12-03,2404.15
2017-12-04,2407.72
2017-12-05,2394.67
2017-12-06,2393.34
2017-12-07,2408.83
2017-12-10,2386.93
2017-12-11,2413.68
2017-12-12,2409.46
2017-12-13,2434.61
2017-12-14,2416.95
2017-12-17,2466.08
2017-12-18,2455.99
2017-12-19,2459.33
2017-12-20,2463.59
2017-12-21,2445.65
2017-12-26,2480.63
2017-12-27,2480.25
2017-12-28,2461.21
2018-01-02,2463.25
2018-01-03,2533.17
2018-01-04,2529.55
2018-01-07,2548.61
2018-01-08,2528.38
2018-01-09,2511.27
2018-01-10,2534.56
2018-01-11,2539.29
2018-01-14,2542.65
2018-01-15,2591.1
2018-01-16,2600.37
2018-01-17,2591.22
2018-01-18,2601.82
2018-01-21,2620.87
2018-01-22,2630.37
2018-01-23,2621.59
2018-01-24,2589.3
2018-01-25,2600.48
2018-01-28,2593.4
2018-01-29,2566.14
2018-01-30,2553.81
2018-01-31,2534.21
2018-02-01,2507.24
2018-02-04,2505.98
2018-02-05,2412.03
2018-02-06,2441.67
2018-02-07,2406.48
2018-02-08,2382.79
2018-02-11,2414.41
2018-02-12,2431.67
2018-02-13,2449.79
2018-02-14,2423.57
2018-02-15,2406.96
2018-02-18,2408.49
2018-02-19,2413.23
2018-02-20,2405.47
2018-02-21,2410.69
2018-02-22,2406.11
2018-02-25,2408.63
2018-02-26,2421.51
2018-02-27,2364.32
2018-02-28,2334.96
2018-03-01,2314.23
2018-03-04,2330.1
2018-03-05,2339.51
2018-03-06,2359.57
2018-03-07,2322.09
2018-03-08,2354.54
2018-03-11,2378.72
2018-03-12,2353.02
2018-03-13,2335.97
2018-03-14,2321.87
2018-03-15,2285.08
2018-03-18,2248.53
2018-03-19,2272.09
2018-03-20,2320.77
2018-03-21,2274.1
2018-03-22,2257.22
2018-03-25,2240.65
2018-03-26,2246.32
2018-03-27,2203.7
2018-03-28,2210.38
2018-04-02,2239.15
2018-04-03,2200.99
2018-04-04,2243.58
2018-04-05,2258.8
2018-04-08,2262.16
2018-04-09,2274.81
2018-04-10,2271.93
2018-04-11,2306.44
2018-04-12,2310.32
2018-04-15,2300.2
2018-04-16,2307.95
2018-04-17,2315.5
2018-04-18,2324.73
2018-04-19,2298.2
2018-04-22,2291.59
2018-04-23,2269.06
2018-04-24,2257.0
2018-04-25,2283.15
2018-04-26,2276.41
2018-04-29,2291.87
2018-05-01,2291.92
2018-05-03,2233.35
2018-05-06,2214.36
2018-05-07,2236.4
2018-05-08,2281.12
2018-05-09,2302.71
2018-05-10,2329.36
2018-05-13,2321.09
2018-05-14,2276.45
2018-05-15,2275.91
2018-05-16,2255.78
2018-05-17,2230.32
2018-05-20,2268.39
2018-05-21,2248.71
2018-05-22,2209.32
2018-05-23,2213.26
2018-05-24,2213.24
2018-05-27,2217.87
2018-05-28,2191.95
2018-05-29,2157.07
2018-05-31,2190.26
2018-06-03,2210.1
2018-06-04,2255.95
2018-06-05,2256.67
2018-06-06,2270.75
2018-06-07,2250.06
2018-06-10,2234.52
2018-06-11,2252.39
2018-06-12,2238.94
2018-06-13,2238.39
2018-06-14,2203.01
2018-06-17,2150.98
2018-06-18,2120.75
2018-06-19,2154.18
2018-06-20,2150.91
2018-06-21,2162.88
2018-06-24,2155.9
2018-06-25,2153.4
2018-06-26,2143.25
2018-06-27,2098.75
2018-06-28,2135.47
2018-07-01,2119.31
2018-07-02,2160.24
2018-07-03,2182.51
2018-07-04,2156.59
2018-07-05,2152.06
2018-07-08,2151.7
2018-07-09,2177.67
2018-07-10,2154.28
