date,PX
2017-05-02,1001.98
2017-05-03,996.29
2017-05-04,1001.75
2017-05-05,1005.94
2017-05-09,1010.96
2017-05-10,1010.02
2017-05-11,1012.81
2017-05-12,1017.96
2017-05-15,1020.51
2017-05-16,1027.12
2017-05-17,1020.64
2017-05-18,1011.71
2017-05-19,1020.13
2017-05-22,1016.96
2017-05-23,1007.91
2017-05-24,1010.73
2017-05-25,1009.97
2017-05-26,1016.24
2017-05-29,1012.9
2017-05-30,1006.15
2017-05-31,1002.38
2017-06-01,1006.08
2017-06-02,1005.81
2017-06-05,1007.91
2017-06-06,1005.96
2017-06-07,1005.62
2017-06-08,1006.22
2017-06-09,1008.16
2017-06-12,1004.46
2017-06-13,1001.3
2017-06-14,1000.15
2017-06-15,996.74
2017-06-16,990.77
2017-06-19,1004.03
2017-06-20,998.21
2017-06-21,994.97
2017-06-22,988.3
2017-06-23,980.68
2017-06-26,971.38
2017-06-27,976.0
2017-06-28,977.22
2017-06-29,975.83
2017-06-30,980.41
2017-07-03,981.27
2017-07-04,986.78
2017-07-07,992.18
2017-07-10,999.0
2017-07-11,996.79
2017-07-12,999.21
2017-07-13,1000.92
2017-07-14,1000.54
2017-07-17,1005.36
2017-07-18,1008.04
2017-07-19,1007.92
2017-07-20,1008.69
2017-07-21,1004.19
2017-07-24,1007.67
2017-07-25,1015.13
2017-07-26,1011.85
2017-07-27,1014.89
2017-07-28,1008.33
2017-07-31,1009.04
2017-08-01,1014.95
2017-08-02,1010.59
2017-08-03,1017.57
2017-08-04,1026.21
2017-08-07,1033.11
2017-08-08,1043.57
2017-08-09,1029.87
2017-08-10,1025.87
2017-08-11,1021.06
2017-08-14,1030.74
2017-08-15,1032.5
2017-08-16,1033.83
2017-08-17,1037.52
2017-08-18,1033.04
2017-08-21,1032.04
2017-08-22,1033.73
2017-08-23,1031.33
2017-08-24,1034.15
2017-08-25,1036.56
2017-08-28,1035.91
2017-08-29,1021.3
2017-08-30,1028.87
2017-08-31,1022.27
2017-09-01,1021.97
2017-09-04,1026.16
2017-09-05,1025.36
2017-09-06,1024.95
2017-09-07,1019.15
2017-09-08,1021.07
2017-09-11,1023.43
2017-09-12,1036.08
2017-09-13,1044.33
2017-09-14,1043.34
2017-09-15,1051.07
2017-09-18,1049.02
2017-09-19,1047.51
2017-09-20,1047.31
2017-09-21,1047.8
2017-09-22,1046.51
2017-09-25,1041.49
2017-09-26,1042.5
2017-09-27,1043.68
2017-09-29,1045.17
2017-10-02,1050.74
2017-10-03,1051.2
2017-10-04,1052.51
2017-10-05,1057.39
2017-10-06,1058.06
2017-10-09,1059.11
2017-10-10,1050.06
2017-10-11,1054.37
2017-10-12,1054.88
2017-10-13,1053.08
2017-10-16,1052.75
2017-10-17,1055.99
2017-10-18,1053.83
2017-10-19,1052.78
2017-10-20,1056.61
2017-10-23,1048.25
2017-10-24,1051.46
2017-10-25,1064.1
2017-10-26,1056.7
2017-10-27,1062.28
2017-10-30,1064.0
2017-10-31,1065.61
2017-11-01,1067.71
2017-11-02,1066.2
2017-11-03,1051.6
2017-11-06,1055.56
2017-11-07,1055.73
2017-11-08,1054.07
2017-11-09,1060.53
2017-11-10,1063.7
2017-11-13,1062.56
2017-11-14,1062.45
2017-11-15,1052.88
2017-11-16,1054.75
2017-11-20,1053.55
2017-11-21,1050.55
2017-11-22,1046.61
2017-11-23,1046.03
2017-11-24,1054.67
2017-11-27,1049.81
2017-11-28,1053.85
2017-11-29,1053.02
2017-11-30,1059.27
2017-12-01,1063.98
2017-12-04,1067.35
2017-12-05,1060.89
2017-12-06,1053.15
2017-12-07,1055.92
2017-12-08,1062.35
2017-12-11,1058.08
2017-12-12,1059.51
2017-12-13,1059.92
2017-12-14,1065.42
2017-12-15,1062.05
2017-12-18,1069.09
2017-12-19,1071.24
2017-12-20,1075.86
2017-12-21,1077.7
2017-12-22,1081.2
2017-12-27,1083.5
2017-12-28,1078.63
2017-12-29,1078.16
2018-01-02,1083.65
2018-01-03,1086.75
2018-01-04,1105.13
2018-01-05,1105.32
2018-01-08,1108.92
2018-01-09,1104.48
2018-01-10,1101.73
2018-01-11,1107.68
2018-01-12,1108.81
2018-01-15,1109.09
2018-01-16,1114.92
2018-01-17,1115.63
2018-01-18,1119.05
2018-01-19,1123.62
2018-01-22,1132.8
2018-01-23,1137.06
2018-01-24,1138.57
2018-01-25,1133.76
2018-01-26,1131.96
2018-01-29,1131.23
2018-01-30,1127.39
2018-01-31,1130.91
2018-02-01,1140.01
2018-02-02,1129.1
2018-02-05,1122.3
2018-02-06,1098.6
2018-02-07,1116.66
2018-02-08,1117.32
2018-02-09,1106.06
2018-02-12,1110.49
2018-02-13,1111.77
2018-02-14,1109.63
2018-02-15,1111.87
2018-02-16,1112.34
2018-02-19,1110.21
2018-02-20,1106.14
2018-02-21,1111.21
2018-02-22,1108.3
2018-02-23,1104.96
2018-02-26,1101.47
2018-02-27,1111.12
2018-02-28,1120.47
2018-03-01,1117.73
2018-03-02,1106.02
2018-03-05,1113.16
2018-03-06,1120.96
2018-03-07,1112.98
2018-03-08,1118.17
2018-03-09,1123.6
2018-03-12,1128.13
2018-03-13,1124.41
2018-03-14,1116.69
2018-03-15,1115.36
2018-03-16,1118.52
2018-03-19,1116.69
2018-03-20,1120.78
2018-03-21,1126.46
2018-03-22,1118.73
2018-03-23,1107.72
2018-03-26,1110.4
2018-03-27,1115.06
2018-03-28,1119.05
2018-03-29,1123.89
2018-04-03,1116.66
2018-04-04,1111.86
2018-04-05,1130.23
2018-04-06,1128.82
2018-04-09,1125.55
2018-04-10,1125.02
2018-04-11,1124.03
2018-04-12,1131.78
2018-04-13,1134.27
2018-04-16,1136.6
2018-04-17,1130.34
2018-04-18,1128.98
2018-04-19,1128.1
