date,ALE.WA,CDR.WA,CEZ.PR,COLT.PR,EBS.VI,KGH.WA,KOMB.PR,LPP.WA,MOL.BD,MONET.PR,O2CR.PR,OMV.VI,OTP.BD,PEO.WA,PKN.WA,PKO.WA,PZU.WA,RBI.VI,RICHTER.BD,TABAK.PR,VER.VI,VIG.PR,ALE.WA_ret_eur,CDR.WA_ret_eur,CEZ.PR_ret_eur,COLT.PR_ret_eur,EBS.VI_ret_eur,KGH.WA_ret_eur,KOMB.PR_ret_eur,LPP.WA_ret_eur,MOL.BD_ret_eur,MONET.PR_ret_eur,O2CR.PR_ret_eur,OMV.VI_ret_eur,OTP.BD_ret_eur,PEO.WA_ret_eur,PKN.WA_ret_eur,PKO.WA_ret_eur,PZU.WA_ret_eur,RBI.VI_ret_eur,RICHTER.BD_ret_eur,TABAK.PR_ret_eur,VER.VI_ret_eur,VIG.PR_ret_eur,CZK_EUR,PLN_EUR,HUF_EUR,USD_EUR,ATX,BUX,GDAXI,GSPC,PX,STOXX50E,WIG20,rf_pribor_3m_pct,rf_ester_pct,rf_cz_10y_gov_pct
2024-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2213.17,6.439354838709675,3.906,3.775211320031606
2024-01-29,30.13500022888184,103.86200714111328,769.2985229492188,584.0,35.663330078125,110.80619049072266,567.7265625,13440.625,2387.818359375,74.26276397705078,,30.076810836791992,15052.8154296875,108.81746673583984,50.84829711914063,43.17906951904297,38.76504135131836,17.09955406188965,7885.85498046875,13052.578125,65.13705444335938,657.182373046875,-0.0028166395928106774,-0.0014274994919374743,-0.0011408743864460024,0.020761991448429225,-0.0077588435478403465,0.0017628944833769785,0.006680018126246116,-0.012756078996121252,0.0021045586768468376,-0.00719050977693739,,0.02051108435854817,-0.020631633376534956,-0.011545163158135486,0.020759739767488797,-0.011433325945465946,-0.007338665379396802,-0.007024612371457861,-0.018388692625536707,0.0,0.003976084915684665,-0.0060423866291292976,24.806,4.366,390.03,1.0823,3446.9599609375,,16941.7109375,4927.93017578125,1445.44,4639.35986328125,2235.83,6.427849462365589,3.907,3.771297187623387
2024-01-30,30.145000457763672,102.67501068115234,772.811279296875,582.0,36.13824462890625,108.36660766601562,565.4586791992188,14049.0859375,2416.2646484375,75.2580337524414,,29.905536651611328,14902.7421875,110.898681640625,50.60344314575195,44.26076126098633,38.96659469604492,17.220094680786133,7971.94482421875,13052.578125,64.87857818603516,649.2166137695312,0.0003317925965381604,-0.011494399806876433,0.004555787685418543,-0.0034305350967892482,0.01322872035879856,-0.02226264941963121,-0.004002675370657742,0.04427549884425689,0.011842685265660782,0.013312990436647886,,-0.005710835198740949,-0.010019809991416558,0.018945145076256855,-0.004827013280898689,0.024742658259047676,0.005185888440808404,0.007024612371457793,0.010857835335067328,0.0,-0.003976084915684669,-0.01219513805616978,24.831,4.3618,387.23,1.0846,3455.0,,16972.33984375,4924.97021484375,1450.49,4662.7001953125,2279.86,6.416344086021502,3.907,3.767383055215168
2024-01-31,30.38500022888184,103.61471557617188,764.4683837890625,582.0,35.88734436035156,109.73277282714844,570.7504272460938,14139.900390625,2434.67138671875,75.79395294189453,,30.76189613342285,14961.861328125,114.8381118774414,51.142120361328125,45.21833038330078,40.61259460449219,16.63460922241211,8251.7373046875,13020.0283203125,65.18013000488281,652.2037353515625,0.007929985993281477,0.009110598108008973,-0.010854209051279795,0.0,-0.0069670040036741016,0.012528078040483823,0.009314810590148544,0.0064432800991384735,0.007588979318122963,0.0070958542136162865,,0.028233150017632633,0.003959149688209889,0.03490640732134996,0.010588810561762873,0.021404009856694422,0.041373497606183626,-0.0345915793821678,0.03449527943384334,-0.0024968598107928596,0.004637172910711905,0.004590564193576308,24.891,4.333,384.9,1.0837,3456.47998046875,,16903.759765625,4845.64990234375,1452.92,4648.39990234375,2306.07,6.404838709677416,3.894,3.763468922806949
2024-02-01,30.96999931335449,103.66416931152344,770.1766967773438,578.0,35.663330078125,109.14727020263672,568.4825439453125,14330.611328125,2449.731201171875,76.7126693725586,,30.95550537109375,15448.4638671875,114.87528228759766,53.50090026855469,45.39565658569336,40.31866455078125,16.307430267333984,8406.7001953125,13068.853515625,64.79241180419922,660.169677734375,0.01906989869375663,0.0004771709990306262,0.007439295752307201,-0.006896579059060329,-0.0062617163551244364,-0.005349999140640457,-0.003981426721238461,0.013397285717294814,0.006166511422421008,0.012048362626275663,,0.006274077263602429,0.03200518719267314,0.0003236242328469645,0.045090050311132696,0.003913886469151678,-0.007263728481012219,-0.0198645693369563,0.018605269637222678,0.0037429930974377393,-0.005966173244942157,0.012139898806686701,24.89,4.3373,383.35,1.0814,3450.570068359375,,16859.0390625,4906.18994140625,1458.36,4638.60009765625,2350.44,6.39333333333333,3.905,3.75955479039873
2024-02-02,30.40999984741211,103.07067108154295,764.0293579101562,571.0,35.93214797973633,108.36660766601562,569.238525390625,14539.4873046875,2449.731201171875,77.78450775146484,,30.076810836791992,15521.2255859375,118.92620086669922,53.7049446105957,47.47037887573242,41.2844352722168,16.41935920715332,8320.609375,13003.7529296875,64.23236846923828,648.71875,-0.018247475142214538,-0.005741653021023142,-0.008013749844063226,-0.012184659016367217,0.007509389479426383,-0.007178078899843563,0.0013289400661520795,0.014470308807415433,0.0,0.013875406596821634,,-0.028796392082494116,0.004698907474678745,0.03465610192962665,0.0038065944754645375,0.04468948335145592,0.0236710570573527,0.0068402295510284995,-0.010293535862278332,-0.004993802316173906,-0.00868122931139942,-0.017497625692406645,24.875,4.3175,383.73,1.0883,3440.780029296875,,16918.2109375,4958.60986328125,1457.31,4654.5498046875,,6.383853599516028,3.906,3.7617688572666523
2024-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.374373865698726,3.9063333333333334,3.763982924134575
2024-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2329.72,6.3648941318814245,3.9066666666666667,3.7661969910024973
2024-02-05,30.375,107.7691879272461,766.6638793945312,572.0,35.708133697509766,106.61009979248048,569.9944458007812,14112.65625,2416.2646484375,78.09073638916016,,29.61511993408203,15448.4638671875,117.81127166748048,53.39479064941406,47.168922424316406,41.15006637573242,16.4624080657959,8225.91015625,13036.302734375,63.62924575805664,652.2037353515625,-0.0011515950108728008,0.04457691138352784,0.0034422626579597906,0.0017497817237877723,-0.006253884186417004,-0.016341742174004043,0.0013270692478363454,-0.029796209298673684,-0.01375549074054386,0.003929155439061043,,-0.015469431252228761,-0.004698907474678783,-0.009419188524893506,-0.005791887859716475,-0.006370661381334884,-0.003260018870767269,0.0026184044720363713,-0.01144654651433758,0.0024999809570442288,-0.00943406178713562,0.005357726885719878,25.006,4.3343,385.3,1.0746,3420.010009765625,,16904.060546875,4942.81005859375,1460.46,4655.27001953125,2332.22,6.355414398064123,3.907,3.76841105787042
2024-02-06,30.649999618530277,107.17568969726562,762.7119750976562,570.0,35.69917297363281,108.51296997070312,574.5302124023438,14312.4482421875,2439.691162109375,78.24385833740234,,29.801284790039062,15371.15234375,117.81127166748048,53.737586975097656,46.93839645385742,41.527976989746094,16.780981063842773,8367.9599609375,13085.1279296875,61.518333435058594,641.250732421875,0.009012748275513509,-0.0055223436336745806,-0.005168007695407083,-0.003502630551202112,-0.0002509749867826838,0.017691452723071113,0.007926068372112618,0.014057663882147966,0.009648644398396593,0.0019589010029990948,,0.006266466846114451,-0.00501704401988123,0.0,0.006399512513092059,-0.004899224296364192,0.00914180429387707,0.019166682998071633,0.01712117470411477,0.003738329098573799,-0.03373796859248226,-0.016936451986098285,24.925,4.3463,386.85,1.0743,3425.429931640625,,17033.240234375,4954.22998046875,1459.37,4690.8701171875,2347.31,6.345934664246822,3.908,3.770625124738342
